--------------------------------------------------
START LOGG - 12/06/16 : 14:58:18
Software version = [LT_Interface 1.0.1]
Target version = [--]
Sample rate:  20 samples / sec
--------------------------------------------------
gTsCnt	g_error	g_pwm_mode	fgtFLAG	fgTc	fgF1Tc	fgF2Tc	fgTa1	fgTa2	fgTa3	fgTa4	fgTrExt	fgTr	frTa	frTe	frTp	frTi	frTd	frTLPr	g_vin	g_curr
00059414	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059415	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059416	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059417	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059418	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059419	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059420	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059421	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059422	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059423	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059424	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059425	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059426	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059427	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059428	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059429	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059430	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059431	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059432	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059433	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059434	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059435	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059436	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059437	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059438	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059439	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
